"fecha","TOTAL NACIONAL-Producción de Petróleo Crudo","TOTAL NACIONAL-PRODUCCIÓN DE PETRÓLEO CRUDO FISCALIZADA (Miles de barriles)","TOTAL NACIONAL-EXPORTACIONES DE PETRÓLEO CRUDO (Miles de barriles)","TOTAL NACIONAL-CRUDO RECIBIDO EN REFINERÍAS Y CONSUMO EN OLEODUCTO (Miles de barriles)","TOTAL NACIONAL-MATERIA PRIMA PROCESADA EN REFINERÍAS (Miles de barriles)","TOTAL NACIONAL-TRANSPORTE POR OLEODUCTOS (Miles de barriles)","TOTAL NACIONAL-PRODUCCIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-IMPORTACIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-CONSUMO INTERNO DE DERIVADOS (Miles de barriles)","TOTAL EXPORTACIONES DE PETRÓLEO (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE EMPRESAS PÚBLICAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE COMPAÑÍAS PRIVADAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE MEM (miles de barriles)","TOTAL EXPORTACIONES DE DERIVADOS (miles de barriles)","Exportaciones de Derivados (miles de barriles)","Ingresos de EP PETROECUADOR por Exportaciones (miles de USD)","DIFERENCIA INGRESOS Y EGRESOS (miles de USD)","Precio Promedio Mensual WTI","Precio Promedio Mensual Brent","smoothed"
2013-09-01,16053.29793,15891.68925,12721.65259,4811.18185,4729.35717,15648.90658,6190.68779027005,4279.181490725,7520.5852730881,12721.65259,11324.01022,0,1397.64237,1104.94637,81.3211314416999,1212871.46108,-303675.090743248,106.26,111.9,9.70183935899655
2013-10-01,16736.98204,16371.58035,11599.86619,4622.56104,4543.74607,16357.30539,6211.72262174614,4681.424322932,7945.52240571191,11599.86619,10276.9325,0,1322.93369,1117.99572,116.67830580096,1054159.20028,-324894.760183506,100.41,109.04,9.70873071080296
2013-11-01,16349.71531,16064.93826,11489.37678,4588.43367,4511.12108,15376.4313,6184.86008698628,3991.5617864565,8080.44693916667,11489.37678,10241.28283,0,1248.09395,732.87942,62.7008354438909,936839.84766,-278763.405402398,93.76,107.97,9.7138094325715
2013-12-01,16995.21724,16711.89289,13102.793,3734.355371,3651.096023,16326.1211,5431.59092617443,3835.50295,8293.77026333333,13102.793,11624.61552,0,1478.17748,0,4.637270014234,1054755.60722,-291252.750642954,97.72,110.81,9.71863331622061
2014-01-01,17054.3035,16878.0173,11572.41624,4883.18717,4806.625,15606.94566,6053.05425238095,5413.64301,7959.20250049886,11572.41624,10217.95665,0,1354.45959,170.58118,57.728162394788,953477.54036,-392881.793594841,94.9,108.26,9.72294442002026
2014-02-01,15422.17593,15081.44813,11127.88495,4166.3753010226,4099.6966957556,14291.91206,5493.53638227157,3737.15327,7536.83222738719,11127.88495,9702.72269,0,1425.16226,568.95321,40.185511575826,1011176.91311,-293521.512578436,100.78,108.87,9.72626699836774
2014-03-01,17255.03736,16946.56534,13100.92804,4206.2351532772,4131.9295398254,15618.94949,5711.1811438101,4479.92383,7839.04362274852,13100.92804,12017.6278,0,1083.30024,547.51954,73.426147654763,1214307.80972,-357423.805009849,100.53,107.55,9.7286931660722
2014-04-01,16805.65303,16584.39419,8569.34499,4357.506872464,4294.562503313,16199.6452,5905.56198373495,3982.77898,7796.09994371886,8569.34499,7523.898,0,1045.44699,355.42322,26.653019126686,775868.6603,-305020.203958397,102.02,107.69,9.73132590326877
2014-05-01,17182.81141,16929.925,15573.33458,4338.3495013451,4266.0631651349,16729.81794,5715.4025157037,4648.86663,7869.79431393238,15573.33458,13923.75622,0,1649.57836,189.43244,47.290871951708,1353938.89837,-334714.722736525,102.03,109.67,9.73400935591371
2014-06-01,16658.194831,16364.57065,13043.60942,4905.42282,4826.671,14919.35663,6545.17519246467,4209.9103291745,7384.56922983191,13043.60942,12094.98641,0,948.62301,0,5.183659992108,1200221.68015,-321561.609338074,105.24,111.66,9.73594228235897
2014-07-01,17310.18929,17053.33652,12778.46766,3904.73619,3825.407,16570.76157,5710.44621273271,4035.5267738575,7635.35498674619,12778.46766,11384.68247,0,1393.78519,0,5.681849088578,1038659.65304,-284239.607746209,102.87,106.64,9.73708324964605
2014-08-01,17310.74651,17108.05871,14624.02117,3659.49862,3576.21818,16765.70104,5449.79557677105,5010.74302,7669.02943402919,14624.02117,13465.80638,0,1158.21479,0,4.901675597442,1161644.87148,-333431.830066703,96.38,101.56,9.73743560860436
2014-09-01,16527.54395,16262.48808,12376.95914,3649.85024,3623.00736,15857.65523,5166.38948594538,4393.12818,7913.41921339681,12376.95914,11068.70074,0,1308.2584,0,14.2254708982516,924261.05956,-304009.782900836,93.36,97.3,9.73685110204617
2014-10-01,17274.19226,16960.23532,13834.08202,2039.20815,1965.84306,16030.33569,4168.0283776601,5504.8038584455,8384.87531976071,13834.08202,12328.65826,0,1503.77876,0,7.693664692545,903051.52506,-367264.411989327,84.43,87.41,9.7350017088888
